Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
10001,Avalon,preliminary,Chapman,,Matthew,Conservative,Conservateur,12538,31,0,40457
10001,Avalon,preliminary,Malone,,Greg,Green Party,Parti Vert,2172,5.4,0,40457
10001,Avalon,preliminary,McDonald,,Kenneth,Liberal,Libéral,18646,46.1,0,40457
10001,Avalon,preliminary,Movelle,,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7101,17.6,0,40457
10001,Avalon,validated,Chapman,,Matthew,Conservative,Conservateur,12855,31.1,397,41731
10001,Avalon,validated,Malone,,Greg,Green Party,Parti Vert,2215,5.4,397,41731
10001,Avalon,validated,McDonald,,Kenneth,Liberal,Libéral,19122,46.3,397,41731
10001,Avalon,validated,Movelle,,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7142,17.3,397,41731
10002,Bonavista--Burin--Trinity,preliminary,Cooper,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,0,32173
10002,Bonavista--Burin--Trinity,preliminary,Reichel,,Kelsey,Green Party,Parti Vert,920,2.9,0,32173
10002,Bonavista--Burin--Trinity,preliminary,Rogers,,Churence,Liberal,Libéral,14701,45.7,0,32173
10002,Bonavista--Burin--Trinity,preliminary,Vokey,,Sharon,Conservative,Conservateur,12697,39.5,0,32173
10002,Bonavista--Burin--Trinity,validated,Cooper,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,609,32788
10002,Bonavista--Burin--Trinity,validated,Reichel,,Kelsey,Green Party,Parti Vert,920,2.9,609,32788
10002,Bonavista--Burin--Trinity,validated,Rogers,,Churence,Liberal,Libéral,14707,45.7,609,32788
10002,Bonavista--Burin--Trinity,validated,Vokey,,Sharon,Conservative,Conservateur,12697,39.5,609,32788
10003,Coast of Bays--Central--Notre Dame,preliminary,Bracci,,Alex,Conservative,Conservateur,11695,35.5,0,32924
10003,Coast of Bays--Central--Notre Dame,preliminary,Joe,,Noel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4058,12.3,0,32924
10003,Coast of Bays--Central--Notre Dame,preliminary,Simms,,Scott,Liberal,Libéral,15861,48.2,0,32924
10003,Coast of Bays--Central--Notre Dame,preliminary,White,,Byron,Green Party,Parti Vert,1310,4,0,32924
10003,Coast of Bays--Central--Notre Dame,validated,Bracci,,Alex,Conservative,Conservateur,12081,35.3,770,34952
10003,Coast of Bays--Central--Notre Dame,validated,Joe,,Noel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4224,12.4,770,34952
10003,Coast of Bays--Central--Notre Dame,validated,Simms,,Scott,Liberal,Libéral,16514,48.3,770,34952
10003,Coast of Bays--Central--Notre Dame,validated,White,,Byron,Green Party,Parti Vert,1363,4,770,34952
10004,Labrador,preliminary,Colbourne,,Tyler,Green Party,Parti Vert,224,2,0,11389
10004,Labrador,preliminary,Flemming,,Larry,Conservative,Conservateur,3548,31.2,0,11389
10004,Labrador,preliminary,Gray,,Michelene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2796,24.6,0,11389
10004,Labrador,preliminary,Jones,,Yvonne,Liberal,Libéral,4821,42.3,0,11389
10004,Labrador,validated,Colbourne,,Tyler,Green Party,Parti Vert,224,2,139,11558
10004,Labrador,validated,Flemming,,Larry,Conservative,Conservateur,3548,31.1,139,11558
10004,Labrador,validated,Gray,,Michelene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2796,24.5,139,11558
10004,Labrador,validated,Jones,,Yvonne,Liberal,Libéral,4851,42.5,139,11558
10005,Long Range Mountains,preliminary,Eisses,,Josh,Conservative,Conservateur,10874,28.3,0,38385
10005,Long Range Mountains,preliminary,Hutchings,,Gudie,Liberal,Libéral,18182,47.4,0,38385
10005,Long Range Mountains,preliminary,Knill,,Lucas,Green Party,Parti Vert,1326,3.5,0,38385
10005,Long Range Mountains,preliminary,Miles,,Robert,VCP,CAC,409,1.1,0,38385
10005,Long Range Mountains,preliminary,Pike,,Holly,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7594,19.8,0,38385
10005,Long Range Mountains,validated,Eisses,,Josh,Conservative,Conservateur,10873,28.3,576,39002
10005,Long Range Mountains,validated,Hutchings,,Gudie,Liberal,Libéral,18199,47.4,576,39002
10005,Long Range Mountains,validated,Knill,,Lucas,Green Party,Parti Vert,1334,3.5,576,39002
10005,Long Range Mountains,validated,Miles,,Robert,VCP,CAC,411,1.1,576,39002
10005,Long Range Mountains,validated,Pike,,Holly,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7609,19.8,576,39002
10006,St. John's East,preliminary,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21164,46.9,0,45130
10006,St. John's East,preliminary,Peters,,David,Green Party,Parti Vert,818,1.8,0,45130
10006,St. John's East,preliminary,Wall,,Joedy,Conservative,Conservateur,8187,18.1,0,45130
10006,St. John's East,preliminary,Whalen,,Nick,Liberal,Libéral,14961,33.2,0,45130
10006,St. John's East,validated,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21148,46.9,528,45600
10006,St. John's East,validated,Peters,,David,Green Party,Parti Vert,821,1.8,528,45600
10006,St. John's East,validated,Wall,,Joedy,Conservative,Conservateur,8141,18.1,528,45600
